Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,sheet_temp,file_name,pressure_ppm,condition_temp,compound
0.549668,199.526,0.00275487,962.625,69.999,0.389511,70 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,70,DPTLB 2070 C
0.762859,251.189,0.00303699,1002.67,69.986,0.390094,70 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,70,DPTLB 2070 C
1.02664,316.228,0.00324654,1042.8,70.003,0.393135,70 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,70,DPTLB 2070 C
1.35977,398.107,0.0034156,1082.97,70.004,0.397787,70 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,70,DPTLB 2070 C
1.82196,501.187,0.00363529,1123.08,69.994,0.404222,70 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,70,DPTLB 2070 C
2.42262,630.957,0.0038396,1163.31,69.988,0.411586,70 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,70,DPTLB 2070 C
3.23856,794.328,0.0040771,1203.3,69.988,0.415309,70 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,70,DPTLB 2070 C
4.31806,999.999,0.00431806,1243.55,69.983,0.421437,70 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,70,DPTLB 2070 C
0.00813429,0.999971,0.00813453,40.0,80.216,0.391514,80 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,80,DPTLB 2070 C
0.0105282,1.25888,0.00836315,80.0156,80.199,0.393623,80 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,80,DPTLB 2070 C
0.0221507,1.58493,0.0139759,120.188,80.117,0.386649,80 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,80,DPTLB 2070 C
0.0103079,1.9953,0.00516606,160.156,80.05,0.389145,80 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,80,DPTLB 2070 C
0.0110454,2.51186,0.00439731,200.438,80.022,0.384545,80 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,80,DPTLB 2070 C
0.0123052,3.16229,0.00389124,240.516,80.002,0.392305,80 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,80,DPTLB 2070 C
0.015009,3.98108,0.00377007,280.609,79.997,0.390056,80 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,80,DPTLB 2070 C
0.0180976,5.01191,0.00361092,320.672,80.003,0.388012,80 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,80,DPTLB 2070 C
0.0212938,6.3096,0.00337482,360.766,80.0,0.390368,80 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,80,DPTLB 2070 C
0.0256224,7.94325,0.00322568,400.813,80.003,0.388092,80 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,80,DPTLB 2070 C
0.0317147,9.99997,0.00317148,440.906,80.002,0.383181,80 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,80,DPTLB 2070 C
0.0380502,12.5893,0.00302243,481.031,80.0,0.383108,80 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,80,DPTLB 2070 C
0.0463031,15.849,0.00292152,521.063,79.995,0.379726,80 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,80,DPTLB 2070 C
0.0559664,19.9526,0.00280496,561.219,80.003,0.37662,80 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,80,DPTLB 2070 C
0.0681773,25.1188,0.00271419,601.281,80.0,0.375438,80 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,80,DPTLB 2070 C
0.0838177,31.6229,0.00265054,641.469,79.999,0.376817,80 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,80,DPTLB 2070 C
0.103408,39.8108,0.0025975,681.563,80.0,0.380311,80 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,80,DPTLB 2070 C
0.127744,50.1187,0.00254883,721.625,80.002,0.379456,80 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,80,DPTLB 2070 C
0.158278,63.0957,0.00250854,761.797,79.998,0.377745,80 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,80,DPTLB 2070 C
0.196508,79.4329,0.00247389,801.797,79.996,0.374095,80 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,80,DPTLB 2070 C
0.245575,100.0,0.00245575,842.047,79.999,0.373695,80 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,80,DPTLB 2070 C
0.306139,125.893,0.00243175,882.063,80.002,0.376496,80 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,80,DPTLB 2070 C
0.399205,158.489,0.00251881,922.047,79.999,0.377165,80 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,80,DPTLB 2070 C
0.551661,199.526,0.00276486,962.688,79.992,0.377268,80 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,80,DPTLB 2070 C
0.740384,251.189,0.00294752,1002.78,79.992,0.380106,80 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,80,DPTLB 2070 C
0.983297,316.228,0.00310946,1042.83,80.002,0.379061,80 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,80,DPTLB 2070 C
1.29549,398.107,0.00325412,1082.86,79.994,0.386497,80 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,80,DPTLB 2070 C
1.72512,501.187,0.00344206,1123.03,80.0,0.394356,80 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,80,DPTLB 2070 C
2.30295,630.957,0.00364993,1163.14,79.989,0.394613,80 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,80,DPTLB 2070 C
3.06863,794.328,0.00386318,1203.22,79.978,0.407644,80 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,80,DPTLB 2070 C
4.1516,999.999,0.0041516,1243.37,79.971,0.403889,80 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,80,DPTLB 2070 C
0.00878494,1.0,0.00878493,39.9844,24.984,0.378309,25 c,new_polymer_rheology/Polymer DPTLB 2070 C_1200ppm.xlsx,1200,25,DPTLB 2070 C
0.0024808,1.25893,0.00197057,80.0781,24.932,0.374162,25 c,new_polymer_rheology/Polymer DPTLB 2070 C_1200ppm.xlsx,1200,25,DPTLB 2070 C
0.00876551,1.58491,0.00553059,120.203,24.962,0.372329,25 c,new_polymer_rheology/Polymer DPTLB 2070 C_1200ppm.xlsx,1200,25,DPTLB 2070 C
0.0106932,1.99524,0.00535936,160.281,24.987,0.371051,25 c,new_polymer_rheology/Polymer DPTLB 2070 C_1200ppm.xlsx,1200,25,DPTLB 2070 C
0.0122106,2.51189,0.00486113,200.453,24.994,0.370338,25 c,new_polymer_rheology/Polymer DPTLB 2070 C_1200ppm.xlsx,1200,25,DPTLB 2070 C
0.0143646,3.16228,0.00454249,240.531,24.997,0.370755,25 c,new_polymer_rheology/Polymer DPTLB 2070 C_1200ppm.xlsx,1200,25,DPTLB 2070 C
